Serial Number,W30401034,,,,,,,,,
Sample ID,109,,,,,,,,,
Start Time,2021-11-10 22:52:25 UTC,,,,,,,,,
Duration,27 days, 18:43:09,,,,,,,,
11/10/21 22:57,306,6.08,2.88,0.15,64.68,0.04,48.799928,-122.404171,105,5.3
11/10/21 22:57,308,6.08,3.12,0.1,46.1,0.04,48.799923,-122.40417,105.6,5.3
11/10/21 22:57,310,6.08,3.16,0.08,35.84,0.04,48.799919,-122.404169,106.1,5.3
11/10/21 22:57,312,6.08,3.3,0.04,17.64,0.04,48.799916,-122.404169,106.6,5.3
11/10/21 22:57,314,6.08,2.74,0.04,17.01,0.04,48.799914,-122.404169,106.8,5.3
11/10/21 22:57,316,6.08,2.64,0.03,12.05,0.04,48.799916,-122.40417,106,3.7
11/10/21 22:57,318,6.09,2.61,0.03,12.77,0.04,48.799917,-122.404171,104.9,3.7
11/10/21 22:57,320,6.09,2.62,0.03,12.45,0.04,48.799918,-122.404173,104.2,3.7
11/13/21 0:26,5655,6.09,-0.15,0,0,0.07,47.691551,-122.362353,74,3.6
11/13/21 0:26,5657,6.09,-0.16,0,0,0.07,47.691549,-122.362351,74.5,3.6
11/13/21 0:26,5659,6.09,0.12,0,0,0.08,47.691548,-122.362349,75.2,3.6
11/13/21 0:26,5661,6.09,0.67,0.07,15.57,0.08,47.691545,-122.362347,75.9,3.6
11/13/21 0:26,5663,6.09,1.13,0.02,4.5,0.07,47.691544,-122.362347,76.5,3.6
11/13/21 0:26,5665,6.09,2.67,0.01,2.47,0.07,47.691543,-122.362347,77.2,3.6
11/13/21 0:26,5667,6.12,3.15,0.51,131.38,0.07,47.691544,-122.362347,77.3,3.6
11/13/21 0:26,5669,6.16,2.12,1.06,256.04,0.08,47.691545,-122.362347,76.8,3.6
11/13/21 0:26,5671,6.21,3.9,1.24,323.17,0.06,47.691547,-122.362347,76.5,3.7
11/13/21 0:26,5673,6.25,2.27,1.41,353.92,0.06,47.69155,-122.362347,76.1,3.7
11/13/21 0:27,5675,6.3,1.66,1.39,389.68,0.06,47.691552,-122.362348,75.9,3.7
11/13/21 0:27,5677,6.34,1.52,1.32,377.04,0.05,47.691554,-122.362348,75.7,3.7
11/13/21 0:27,5679,6.39,1.51,1.34,404.59,0.06,47.691555,-122.362347,75.6,3.7
11/13/21 0:27,5681,6.43,1.97,1.23,351.33,0.06,47.691555,-122.362346,75.6,3.7
11/13/21 0:27,5683,6.47,3.35,1.19,369.68,0.05,47.691556,-122.362346,75.8,3.7
11/13/21 0:27,5685,6.52,2.28,1.37,400.94,0.07,47.691555,-122.362341,76.7,3.7
11/13/21 0:27,5687,6.56,1.36,1.35,353.22,0.07,47.691556,-122.362334,78.8,3.7
11/13/21 0:27,5689,6.6,2.42,1.32,314.29,0.07,47.691553,-122.362332,79.6,3.7
11/13/21 0:27,5691,6.65,1.33,1.35,346.95,0.07,47.691551,-122.362332,80.1,2.9
11/13/21 0:27,5693,6.69,1.98,1.31,284.66,0.08,47.69155,-122.362332,80.2,2.9
11/13/21 0:27,5695,6.74,1.64,1.31,279.02,0.08,47.691549,-122.362331,80.3,2.9
11/13/21 0:27,5697,6.78,1.17,1.31,237.06,0.09,47.691543,-122.362332,79.4,2.9
11/13/21 0:27,5699,6.82,2.86,1.3,229.52,0.09,47.691541,-122.362323,79.9,2.9
11/13/21 0:27,5701,6.87,1.59,1.3,223.6,0.09,47.691539,-122.36232,80.2,3.5
11/13/21 0:27,5703,6.91,0.63,1.3,224.18,0.1,47.691535,-122.362317,80.4,3.5
11/13/21 0:27,5705,6.96,1.35,1.3,229.03,0.08,47.691531,-122.362315,80.4,3.5
11/13/21 0:27,5707,7,0.99,1.3,273.05,0.07,47.691531,-122.362296,81.2,3.5
11/13/21 0:27,5709,7.04,0.87,1.3,304.52,0.07,47.691529,-122.36229,81.7,3.5
11/13/21 0:27,5711,7.08,1.11,1.3,322.66,0.06,47.691525,-122.36229,82,3.5
11/13/21 0:27,5713,7.13,3.07,1.3,412.7,0.05,47.691521,-122.362291,82.3,3.5
11/13/21 0:27,5715,7.17,0.68,1.3,426.09,0.05,47.691518,-122.362292,82.5,3.5
11/13/21 0:27,5717,7.22,2.12,1.3,577.01,0.04,47.691516,-122.362294,82.6,3.5
11/13/21 0:27,5719,7.26,2.31,1.31,609.02,0.03,47.691515,-122.362295,82.6,3.5
11/13/21 0:27,5721,7.3,0.72,1.3,711.55,0.03,47.691515,-122.362297,82.8,3.5
11/13/21 0:27,5723,7.35,0.95,1.29,830.12,0.03,47.691514,-122.362299,82.8,3.5
11/13/21 0:27,5725,7.39,2.22,1.31,861.28,0.02,47.691515,-122.362303,83,3.5
11/13/21 0:27,5727,7.43,2.92,1.3,858.09,0.02,47.691517,-122.362306,83.1,3.5
11/13/21 0:27,5729,7.48,1.03,1.3,965.11,0.02,47.691518,-122.362313,80.8,3.5
11/13/21 0:27,5731,7.52,2.27,1.3,931.9,0.02,47.691519,-122.362317,80.2,3.5
11/13/21 0:27,5733,7.56,2.84,1.3,987.09,0.02,47.691519,-122.362318,80.4,3.5
11/13/21 0:28,5735,7.61,1.39,1.31,999,0.02,47.691519,-122.36232,80.7,3.5
11/13/21 0:28,5737,7.65,1.2,1.3,999,0.02,47.691519,-122.362322,80.8,3.5
11/13/21 0:28,5739,7.69,2.63,1.3,999,0.02,47.691519,-122.362324,80.6,3.5
11/13/21 0:28,5741,7.74,1.31,1.3,999,0.02,47.691519,-122.362329,80.6,3.5
11/13/21 0:28,5743,7.78,2.59,1.3,999,0.02,47.691519,-122.362333,80.8,3.5
11/13/21 0:28,5745,7.82,2.09,1.29,999,0.02,47.691519,-122.362337,81,3.5
11/13/21 0:28,5747,7.87,2.51,1.3,999,0.02,47.691519,-122.362341,81.1,3.5
11/13/21 0:28,5749,7.91,1.2,1.29,999,0.01,47.69152,-122.362344,81,3.5
11/13/21 0:28,5751,7.95,2.31,1.3,999,0.01,47.691519,-122.362348,81,3.5
11/13/21 0:28,5753,8,2.45,1.3,999,0.01,47.691519,-122.362351,81,3.5
11/13/21 0:28,5755,8.04,1.99,1.3,999,0.02,47.691519,-122.362353,81.6,3.5
11/13/21 0:28,5757,8.08,1.95,1.31,999,0.01,47.691519,-122.362356,82.2,3.5
11/13/21 0:28,5760,8.13,1.86,1.29,999,0.01,47.691518,-122.362358,83,3.5
11/13/21 0:28,5762,8.17,1.97,1.31,999,0.01,47.691517,-122.362361,83.6,3.5
11/13/21 0:28,5764,8.21,2.09,1.29,999,0.01,47.691516,-122.362363,84.3,3.5
11/13/21 0:28,5766,8.26,2.31,1.3,999,0.01,47.691515,-122.362365,84.5,3.5
11/13/21 0:28,5768,8.3,2.13,1.3,999,0.01,47.691512,-122.362368,84.4,3.5
11/13/21 0:28,5770,8.34,2.35,1.3,999,0.01,47.691511,-122.36237,84.1,3.5
11/13/21 0:28,5772,8.39,2.77,1.3,999,0.01,47.69151,-122.362371,83.8,3.5
11/13/21 0:28,5774,8.43,2.35,1.29,999,0.01,47.691509,-122.362371,83.6,3.5
11/13/21 0:28,5776,8.47,2.07,1.3,999,0.01,47.691508,-122.362372,83.3,3.5
11/13/21 0:28,5778,8.52,2.28,1.3,999,0.01,47.691508,-122.362373,83.2,3.5
11/13/21 0:28,5780,8.56,2,1.3,999,0.01,47.691507,-122.362373,83.1,3.5
11/13/21 0:28,5782,8.6,2.31,1.3,999,0.01,47.691507,-122.362373,83,3.5
11/13/21 0:28,5784,8.65,2.16,1.3,999,0.02,47.691507,-122.362372,83,3.5
11/13/21 0:28,5786,8.69,2.31,1.3,999,0.02,47.691507,-122.362372,83,3.5
11/13/21 0:28,5788,8.73,2.46,1.3,999,0.02,47.691507,-122.362373,82.7,3.5
11/13/21 0:28,5790,8.78,2.36,1.3,999,0.02,47.691507,-122.362373,82.1,3.5
11/13/21 0:28,5792,8.82,1.87,1.3,999,0.02,47.691507,-122.362374,81.3,3.5
11/13/21 0:28,5794,8.86,2.28,1.3,999,0.02,47.691506,-122.362375,80.7,3.5
11/13/21 0:29,5796,8.91,2.51,1.3,999,0.02,47.691506,-122.362375,80,3.5
11/13/21 0:29,5798,8.95,2.11,1.3,999,0.02,47.691505,-122.362376,79.6,3.5
11/13/21 0:29,5800,8.99,2.11,1.3,999,0.02,47.691505,-122.362377,79.2,3.5
11/13/21 0:29,5802,9.04,1.85,1.3,991.61,0.02,47.691505,-122.362379,78.8,3.7
11/13/21 0:29,5804,9.08,2.23,1.3,982.62,0.02,47.691505,-122.36238,78.4,3.7
11/13/21 0:29,5806,9.12,2.21,1.31,999,0.02,47.691504,-122.362381,78.1,3.7
11/13/21 0:29,5808,9.17,2.34,1.3,999,0.02,47.691504,-122.362383,77.5,3.7
11/13/21 0:29,5810,9.21,2.04,1.3,999,0.02,47.691503,-122.362384,76.8,3.7
11/13/21 0:29,5812,9.25,2.03,1.3,999,0.02,47.691503,-122.362385,76.3,3.7
11/13/21 0:29,5814,9.3,2.46,1.3,999,0.02,47.691503,-122.362386,76,3.7
11/13/21 0:29,5816,9.34,2.39,1.3,999,0.02,47.691503,-122.362387,76,3.7
11/13/21 0:29,5818,9.38,2.3,1.3,999,0.02,47.691503,-122.362389,76.3,3.7
11/13/21 0:29,5820,9.43,1.98,1.3,999,0.02,47.691504,-122.36239,77,3.7
11/13/21 0:29,5822,9.47,2.13,1.3,999,0.02,47.691505,-122.362391,77.6,3.7
11/13/21 0:29,5824,9.51,2.42,1.3,999,0.02,47.691506,-122.362391,78.2,3.7
11/13/21 0:29,5826,9.56,1.84,1.3,999,0.02,47.691506,-122.362391,78.7,3.7
11/13/21 0:29,5828,9.6,2.06,1.3,999,0.02,47.691507,-122.362391,79.4,3.7
11/13/21 0:29,5830,9.64,2.28,1.3,999,0.02,47.691508,-122.36239,80.2,3.7
11/13/21 0:29,5832,9.69,2.49,1.3,999,0.02,47.69151,-122.36239,81.2,3.7
11/13/21 0:29,5834,9.73,2.02,1.3,999,0.02,47.691511,-122.362388,82.4,3.7
11/13/21 0:29,5836,9.77,2.47,1.3,999,0.02,47.691512,-122.362387,83.5,3.7
11/13/21 0:29,5838,9.82,2.2,1.3,999,0.02,47.691514,-122.362383,84.6,3.7
11/13/21 0:29,5840,9.86,2.19,1.3,999,0.02,47.691516,-122.362379,85.4,3.7
11/13/21 0:29,5842,9.9,2.23,1.3,999,0.02,47.691517,-122.362377,85.9,3.7
11/13/21 0:29,5844,9.95,2.32,1.3,939.99,0.02,47.691519,-122.362374,86.2,3.7
11/13/21 0:29,5846,9.99,2.15,1.3,935.93,0.02,47.691519,-122.362373,86.1,3.7
11/13/21 0:29,5848,10.03,2.07,1.3,886.16,0.02,47.69152,-122.362372,85.8,3.7
11/13/21 0:29,5850,10.08,1.81,1.3,826.97,0.03,47.69152,-122.36237,85.9,3.7
11/13/21 0:29,5852,10.12,2.4,1.3,816.07,0.03,47.691519,-122.362369,86.1,3.7
11/13/21 0:29,5854,10.16,1.83,1.3,825.4,0.03,47.69152,-122.362367,86.3,3.7
11/13/21 0:30,5856,10.21,2.17,1.3,839.79,0.02,47.69152,-122.362365,86.6,3.7
11/13/21 0:30,5858,10.25,2.51,1.3,914.21,0.02,47.691521,-122.362363,86.7,3.7
11/13/21 0:30,5860,10.29,2.2,1.3,944.08,0.02,47.691522,-122.362361,86.8,3.7
11/13/21 0:30,5862,10.34,2.59,1.3,999,0.02,47.691522,-122.362359,86.6,3.7
11/13/21 0:30,5864,10.38,2.15,1.3,999,0.02,47.691523,-122.362356,86.5,3.7
11/13/21 0:30,5866,10.42,2.08,1.3,999,0.02,47.691523,-122.362353,86.5,3.7
11/13/21 0:30,5868,10.47,2.32,1.3,999,0.02,47.691524,-122.362351,86.3,3.7
