"Sample","creek.x","timeplot","daysampletoavg","creek.y","meandayflow"
"0521.3Chk.Up.3","Chuckanut",2021-05-10 19:15:00,2021-05-10,"Chuckanut",0.06164813565625
"0621.3Chk.Dn.1","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Dn.2","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Dn.3","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.1","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.2","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.3","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0721.3Chk.Dn.1","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Dn.2","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Dn.3","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Up.1","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0721.3Chk.Up.2","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0721.3Chk.Up.3","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0821.3Chk.Dn.1","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Dn.2","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Dn.3","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.1","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.2","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.3","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0921.3Chk.Dn.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Dn.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Dn.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"1021.3Chk.Dn.1","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Dn.2","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Dn.3","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.1","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.2","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.3","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1121.3Chk.Dn.1","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Dn.2","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Dn.3","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.1","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.2","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.3","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1221.3Chk.Dn.1","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Dn.2","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Dn.3","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Up.1","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"1221.3Chk.Up.2","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"1221.3Chk.Up.3","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"0122.3Chk.Dn.1","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Dn.2","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Dn.3","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Up.1","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0122.3Chk.Up.2","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0122.3Chk.Up.3","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0222.3Chk.Dn.1","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Dn.2","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Dn.3","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Up.1","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0222.3Chk.Up.2","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0222.3Chk.Up.3","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0321.5Sqm.Dn.1","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Dn.2","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Dn.3","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.1","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.2","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.3","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0421.5Sqm.Dn.1","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Dn.2","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Dn.3","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.1","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.2","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.3","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0521.5Sqm.Dn.1","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Dn.2","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Dn.3","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.1","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.2","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.3","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0621.5Sqm.Dn.1","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Dn.2","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Dn.3","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.1","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.2","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.3","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0721.5Sqm.Dn.1","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Dn.2","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Dn.3","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.1","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.2","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.3","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0821.5Sqm.Dn.1","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Dn.2","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Dn.3","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.1","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.2","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.3","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0921.5Sqm.Dn.1","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Dn.2","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Dn.3","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Up.1","Squalicum",NA,NA,NA,NA
"0921.5Sqm.Up.2","Squalicum",NA,NA,NA,NA
"0921.5Sqm.Up.3","Squalicum",NA,NA,NA,NA
"1021.5Sqm.Dn.1","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Dn.2","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Dn.3","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.1","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.2","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.3","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1121.5Sqm.Dn.1","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Dn.2","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Dn.3","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.1","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.2","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.3","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1221.5Sqm.Dn.1","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Dn.2","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Dn.3","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Up.1","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"1221.5Sqm.Up.2","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"1221.5Sqm.Up.3","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"0122.5Sqm.Dn.1","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Dn.2","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Dn.3","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Up.1","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0122.5Sqm.Up.2","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0122.5Sqm.Up.3","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0222.5Sqm.Dn.1","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Dn.2","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Dn.3","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Up.1","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
"0222.5Sqm.Up.2","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
"0222.5Sqm.Up.3","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
