# ReportTitle: Squalicum Creek Computed Discharge (cfs),,,
# Time-series Label: Computed Discharge Squalicum Creek,,,
# Location: West Street,,,
# UTC offset: (UTC-08:00) i.e. PST,,,
# Value units: ft^3/s,,,
# Value parameter: Discharge,,,
Data Source: City of Bellingham / Public Works / Operations / Plants / Laboratory,,,
Station Location:,"Lat/Lon hddd° mm' ss.s"" (NAD83)",,
1/4/2021 5:45,144.0,,
1/4/2021 6:00,144.3,,
1/4/2021 6:15,144.3,,
1/4/2021 6:30,144.7,,
1/4/2021 6:45,142.6,,
1/4/2021 7:00,142.9,,
1/4/2021 7:15,143.6,,
1/4/2021 7:30,142.7,,
1/4/2021 7:45,143.9,,
1/4/2021 8:00,144.4,,
1/4/2021 8:15,141.7,,
1/4/2021 8:30,141.4,,
1/4/2021 8:45,142.0,,
1/4/2021 9:00,140.3,,
1/4/2021 9:15,140.6,,
1/4/2021 9:30,141.3,,
1/4/2021 9:45,140.9,,
1/4/2021 10:00,140.1,,
1/4/2021 10:15,140.1,,
1/4/2021 10:30,141.8,,
1/4/2021 10:45,142.2,,
1/4/2021 11:00,144.9,,
1/4/2021 11:15,150.0,,
1/4/2021 11:30,158.5,,
1/4/2021 11:45,169.7,,
1/4/2021 12:00,181.2,,
1/4/2021 12:15,188.6,,
1/4/2021 12:30,200.1,,
1/4/2021 12:45,200.6,,
1/4/2021 13:00,206.3,,
1/4/2021 13:15,201.5,,
1/4/2021 13:30,198.7,,
1/4/2021 13:45,199.7,,
1/4/2021 14:00,194.4,,
1/4/2021 14:15,189.6,,
1/4/2021 14:30,186.8,,
1/4/2021 14:45,186.3,,
1/4/2021 15:00,185.9,,
1/4/2021 15:15,186.5,,
1/4/2021 15:30,189.5,,
1/4/2021 15:45,188.9,,
1/4/2021 16:00,194.8,,
1/4/2021 16:15,198.8,,
1/4/2021 16:30,203.1,,
1/4/2021 16:45,204.1,,
1/4/2021 17:00,212.3,,
1/4/2021 17:15,213.3,,
1/4/2021 17:30,215.8,,
1/4/2021 17:45,217.6,,
1/4/2021 18:00,224.7,,
1/4/2021 18:15,226.1,,
1/4/2021 18:30,225.4,,
1/4/2021 18:45,228.4,,
1/4/2021 19:00,227.1,,
1/4/2021 19:15,230.8,,
1/4/2021 19:30,227.0,,
1/4/2021 19:45,222.5,,
1/4/2021 20:00,221.0,,
1/4/2021 20:15,221.0,,
1/4/2021 20:30,217.4,,
1/4/2021 20:45,216.7,,
1/4/2021 21:00,216.4,,
1/4/2021 21:15,213.6,,
1/4/2021 21:30,212.7,,
1/4/2021 21:45,213.0,,
1/4/2021 22:00,211.9,,
1/4/2021 22:15,210.6,,
1/4/2021 22:30,209.0,,
1/4/2021 22:45,209.1,,
1/4/2021 23:00,202.7,,
1/4/2021 23:15,199.8,,
1/4/2021 23:30,201.9,,
1/4/2021 23:45,200.5,,
1/5/2021 0:00,197.7,,
1/5/2021 0:15,196.1,,
1/5/2021 0:30,196.2,,
1/5/2021 0:45,192.3,,
1/5/2021 1:00,193.3,,
1/5/2021 1:15,191.7,,
1/5/2021 1:30,192.8,,
1/5/2021 1:45,193.3,,
1/5/2021 2:00,189.7,,
1/5/2021 2:15,189.6,,
1/5/2021 2:30,191.0,,
1/5/2021 2:45,187.2,,
1/5/2021 3:00,187.6,,
1/5/2021 3:15,187.9,,
1/5/2021 3:30,185.7,,
1/5/2021 3:45,186.2,,
1/5/2021 4:00,183.4,,
1/5/2021 4:15,181.9,,
1/5/2021 4:30,182.1,,
1/5/2021 4:45,183.2,,
1/5/2021 5:00,181.9,,
1/5/2021 5:15,180.7,,
1/5/2021 5:30,179.3,,
1/5/2021 5:45,179.4,,
1/5/2021 6:00,177.5,,
1/5/2021 6:15,175.4,,
1/5/2021 6:30,175.0,,
1/5/2021 6:45,174.8,,
1/5/2021 7:00,173.5,,
1/5/2021 7:15,172.1,,
1/5/2021 7:30,169.6,,
1/5/2021 7:45,171.7,,
1/5/2021 8:00,169.8,,
1/5/2021 8:15,170.4,,
1/5/2021 8:30,170.1,,
1/5/2021 8:45,167.9,,
1/5/2021 9:00,165.7,,
1/5/2021 9:15,163.6,,
1/5/2021 9:30,165.1,,
1/5/2021 9:45,166.4,,
1/5/2021 10:00,161.7,,
1/5/2021 10:15,160.4,,
1/5/2021 10:30,160.1,,
1/5/2021 10:45,159.3,,
1/5/2021 11:00,160.4,,
1/5/2021 11:15,157.5,,
1/5/2021 11:30,156.5,,
1/5/2021 11:45,155.8,,
1/5/2021 12:00,155.4,,
1/5/2021 12:15,153.8,,
1/5/2021 12:30,153.4,,
1/5/2021 12:45,153.7,,
1/5/2021 13:00,152.1,,
1/5/2021 13:15,153.7,,
1/5/2021 13:30,156.4,,
1/5/2021 13:45,157.6,,
1/5/2021 14:00,158.5,,
1/5/2021 14:15,156.9,,
1/5/2021 14:30,158.4,,
1/5/2021 14:45,156.8,,
1/5/2021 15:00,156.0,,
1/5/2021 15:15,154.4,,
1/5/2021 15:30,153.1,,
1/5/2021 15:45,152.6,,
1/5/2021 16:00,151.1,,
1/5/2021 16:15,150.4,,
1/5/2021 16:30,150.0,,
1/5/2021 16:45,147.7,,
1/5/2021 17:00,150.7,,
1/5/2021 17:15,149.1,,
1/5/2021 17:30,147.2,,
1/5/2021 17:45,147.5,,
1/5/2021 18:00,148.1,,
1/5/2021 18:15,150.6,,
1/5/2021 18:30,151.5,,
1/5/2021 18:45,151.2,,
1/5/2021 19:00,151.0,,
1/5/2021 19:15,150.3,,
1/5/2021 19:30,150.1,,
1/5/2021 19:45,148.9,,
1/5/2021 20:00,148.0,,
1/5/2021 20:15,150.1,,
1/5/2021 20:30,149.6,,
1/5/2021 20:45,148.4,,
1/5/2021 21:00,151.5,,
1/5/2021 21:15,156.4,,
1/5/2021 21:30,158.5,,
1/5/2021 21:45,169.6,,
1/5/2021 22:00,174.5,,
1/5/2021 22:15,182.0,,
1/5/2021 22:30,189.3,,
1/5/2021 22:45,194.0,,
1/5/2021 23:00,197.1,,
1/5/2021 23:15,193.2,,
1/5/2021 23:30,192.7,,
1/5/2021 23:45,190.6,,
1/6/2021 0:00,188.7,,
1/6/2021 0:15,191.5,,
1/6/2021 0:30,188.6,,
1/6/2021 0:45,190.1,,
1/6/2021 1:00,195.7,,
1/6/2021 1:15,197.9,,
1/6/2021 1:30,199.0,,
1/6/2021 1:45,204.8,,
1/6/2021 2:00,208.0,,
1/6/2021 2:15,214.4,,
1/6/2021 2:30,220.2,,
1/6/2021 2:45,220.4,,
1/6/2021 3:00,225.2,,
1/6/2021 3:15,232.4,,
1/6/2021 3:30,232.3,,
1/6/2021 3:45,233.1,,
1/6/2021 4:00,236.1,,
1/6/2021 4:15,241.2,,
1/6/2021 4:30,238.5,,
1/6/2021 4:45,238.0,,
1/6/2021 5:00,240.1,,
1/6/2021 5:15,235.1,,
1/6/2021 5:30,237.3,,
1/6/2021 5:45,238.3,,
1/6/2021 6:00,236.7,,
1/6/2021 6:15,233.6,,
1/6/2021 6:30,232.7,,
1/6/2021 6:45,230.8,,
1/6/2021 7:00,226.9,,
1/6/2021 7:15,225.6,,
1/6/2021 7:30,223.6,,
1/6/2021 7:45,220.2,,
1/6/2021 8:00,221.7,,
1/6/2021 8:15,218.0,,
1/6/2021 8:30,214.0,,
1/6/2021 8:45,215.2,,
1/6/2021 9:00,210.6,,
1/6/2021 9:15,210.9,,
1/6/2021 9:30,208.6,,
1/6/2021 9:45,210.8,,
1/6/2021 10:00,207.0,,
1/6/2021 10:15,203.4,,
1/6/2021 10:30,201.5,,
1/6/2021 10:45,202.7,,
1/6/2021 11:00,199.5,,
1/6/2021 11:15,198.5,,
1/6/2021 11:30,195.9,,
1/6/2021 11:45,194.6,,
1/6/2021 12:00,195.3,,
1/6/2021 12:15,192.9,,
1/6/2021 12:30,191.0,,
1/6/2021 12:45,189.5,,
1/6/2021 13:00,189.9,,
1/6/2021 13:15,186.8,,
1/6/2021 13:30,185.3,,
1/6/2021 13:45,183.1,,
1/6/2021 14:00,185.9,,
1/6/2021 14:15,183.5,,
1/6/2021 14:30,180.1,,
1/6/2021 14:45,181.1,,
1/6/2021 15:00,180.6,,
1/6/2021 15:15,177.8,,
1/6/2021 15:30,175.3,,
1/6/2021 15:45,177.2,,
1/6/2021 16:00,176.1,,
1/6/2021 16:15,174.3,,
1/6/2021 16:30,173.2,,
1/6/2021 16:45,173.7,,
1/6/2021 17:00,171.7,,
1/6/2021 17:15,170.0,,
1/6/2021 17:30,170.0,,
1/6/2021 17:45,168.4,,
1/6/2021 18:00,167.1,,
1/6/2021 18:15,164.9,,
1/6/2021 18:30,166.1,,
1/6/2021 18:45,163.1,,
1/6/2021 19:00,161.4,,
1/6/2021 19:15,163.0,,
1/6/2021 19:30,161.5,,
1/6/2021 19:45,159.5,,
1/6/2021 20:00,160.8,,
1/6/2021 20:15,157.6,,
1/6/2021 20:30,157.4,,
1/6/2021 20:45,155.7,,
1/6/2021 21:00,155.5,,
1/6/2021 21:15,151.9,,
1/6/2021 21:30,154.7,,
1/6/2021 21:45,151.5,,
1/6/2021 22:00,150.2,,
1/6/2021 22:15,150.7,,
1/6/2021 22:30,148.0,,
1/6/2021 22:45,148.2,,
1/6/2021 23:00,147.5,,
1/6/2021 23:15,143.8,,
1/6/2021 23:30,145.8,,
1/6/2021 23:45,144.0,,
1/7/2021 0:00,143.6,,
1/7/2021 0:15,142.6,,
1/7/2021 0:30,140.2,,
1/7/2021 0:45,139.9,,
1/7/2021 1:00,137.8,,
1/7/2021 1:15,139.5,,
1/7/2021 1:30,138.0,,
1/7/2021 1:45,138.1,,
1/7/2021 2:00,137.9,,
1/7/2021 2:15,137.0,,
1/7/2021 2:30,135.6,,
1/7/2021 2:45,136.2,,
1/7/2021 3:00,133.5,,
1/7/2021 3:15,131.7,,
1/7/2021 3:30,133.7,,
1/7/2021 3:45,131.6,,
1/7/2021 4:00,131.3,,
1/7/2021 4:15,129.9,,
1/7/2021 4:30,130.0,,
1/7/2021 4:45,128.6,,
1/7/2021 5:00,128.7,,
1/7/2021 5:15,127.8,,
1/7/2021 5:30,127.9,,
1/7/2021 5:45,126.8,,
1/7/2021 6:00,126.8,,
1/7/2021 6:15,126.1,,
1/7/2021 6:30,123.8,,
1/7/2021 6:45,122.9,,
1/7/2021 7:00,123.6,,
1/7/2021 7:15,124.1,,
1/7/2021 7:30,121.6,,
1/7/2021 7:45,122.7,,
1/7/2021 8:00,121.8,,
1/7/2021 8:15,120.6,,
1/7/2021 8:30,121.9,,
1/7/2021 8:45,120.3,,
1/7/2021 9:00,119.0,,
1/7/2021 9:15,118.0,,
1/7/2021 9:30,119.0,,
1/7/2021 9:45,117.6,,
1/7/2021 10:00,116.6,,
1/7/2021 10:15,117.0,,
1/7/2021 10:30,117.6,,
1/7/2021 10:45,115.2,,
1/7/2021 11:00,115.8,,
1/7/2021 11:15,115.8,,
1/7/2021 11:30,114.4,,
1/7/2021 11:45,114.7,,
1/7/2021 12:00,113.8,,
1/7/2021 12:15,111.0,,
1/7/2021 12:30,112.4,,
1/7/2021 12:45,111.4,,
1/7/2021 13:00,111.6,,
1/7/2021 13:15,111.4,,
1/7/2021 13:30,109.6,,
1/7/2021 13:45,110.0,,
1/7/2021 14:00,110.4,,
1/7/2021 14:15,109.3,,
1/7/2021 14:30,108.8,,
1/7/2021 14:45,107.7,,
1/7/2021 15:00,108.1,,
1/7/2021 15:15,107.9,,
1/7/2021 15:30,107.4,,
1/7/2021 15:45,107.3,,
1/7/2021 16:00,106.5,,
1/7/2021 16:15,106.6,,
1/7/2021 16:30,106.3,,
1/7/2021 16:45,106.5,,
1/7/2021 17:00,105.8,,
1/7/2021 17:15,105.5,,
1/7/2021 17:30,103.4,,
1/7/2021 17:45,103.0,,
1/7/2021 18:00,102.7,,
1/7/2021 18:15,103.4,,
1/7/2021 18:30,101.8,,
1/7/2021 18:45,102.7,,
1/7/2021 19:00,102.7,,
1/7/2021 19:15,102.0,,
1/7/2021 19:30,101.6,,
1/7/2021 19:45,103.1,,
1/7/2021 20:00,102.0,,
1/7/2021 20:15,100.5,,
1/7/2021 20:30,100.3,,
1/7/2021 20:45,99.5,,
1/7/2021 21:00,100.7,,
1/7/2021 21:15,99.8,,
1/7/2021 21:30,100.0,,
1/7/2021 21:45,99.3,,
1/7/2021 22:00,98.9,,
1/7/2021 22:15,100.2,,
1/7/2021 22:30,100.6,,
1/7/2021 22:45,99.1,,
1/7/2021 23:00,98.6,,
1/7/2021 23:15,97.5,,
1/7/2021 23:30,97.4,,
1/7/2021 23:45,98.0,,
1/8/2021 0:00,96.0,,
1/8/2021 0:15,97.3,,
1/8/2021 0:30,95.6,,
1/8/2021 0:45,95.8,,
1/8/2021 1:00,95.4,,
1/8/2021 1:15,93.9,,
1/8/2021 1:30,94.0,,
1/8/2021 1:45,94.1,,
1/8/2021 2:00,94.5,,
1/8/2021 2:15,94.5,,
1/8/2021 2:30,93.6,,
1/8/2021 2:45,94.4,,
1/8/2021 3:00,93.5,,
1/8/2021 3:15,92.7,,
1/8/2021 3:30,92.0,,
1/8/2021 3:45,92.7,,
1/8/2021 4:00,91.9,,
1/8/2021 4:15,90.8,,
1/8/2021 4:30,92.3,,
1/8/2021 4:45,90.3,,
1/8/2021 5:00,90.5,,
1/8/2021 5:15,91.6,,
1/8/2021 5:30,90.0,,
1/8/2021 5:45,91.1,,
1/8/2021 6:00,91.1,,
1/8/2021 6:15,90.9,,
1/8/2021 6:30,90.7,,
1/8/2021 6:45,91.5,,
1/8/2021 7:00,91.6,,
1/8/2021 7:15,90.7,,
1/8/2021 7:30,91.0,,
1/8/2021 7:45,92.0,,
1/8/2021 8:00,92.4,,
1/8/2021 8:15,93.1,,
1/8/2021 8:30,93.5,,
1/8/2021 8:45,94.6,,
1/8/2021 9:00,96.3,,
1/8/2021 9:15,98.3,,
1/8/2021 9:30,101.7,,
1/8/2021 9:45,102.6,,
1/8/2021 10:00,105.1,,
1/8/2021 10:15,103.3,,
1/8/2021 10:30,101.7,,
1/8/2021 10:45,103.0,,
1/8/2021 11:00,102.2,,
1/8/2021 11:15,102.7,,
1/8/2021 11:30,103.2,,
1/8/2021 11:45,102.3,,
1/8/2021 12:00,103.3,,
1/8/2021 12:15,103.4,,
1/8/2021 12:30,102.8,,
1/8/2021 12:45,104.3,,
1/8/2021 13:00,104.4,,
1/8/2021 13:15,103.3,,
1/8/2021 13:30,102.9,,
1/8/2021 13:45,102.3,,
1/8/2021 14:00,102.1,,
1/8/2021 14:15,102.1,,
1/8/2021 14:30,102.5,,
1/8/2021 14:45,103.5,,
1/8/2021 15:00,104.0,,
1/8/2021 15:15,103.0,,
1/8/2021 15:30,103.1,,
1/8/2021 15:45,102.7,,
1/8/2021 16:00,103.3,,
1/8/2021 16:15,104.7,,
1/8/2021 16:30,103.2,,
1/8/2021 16:45,104.8,,
1/8/2021 17:00,103.7,,
1/8/2021 17:15,104.7,,
1/8/2021 17:30,103.5,,
1/8/2021 17:45,103.3,,
1/8/2021 18:00,103.3,,
1/8/2021 18:15,103.8,,
1/8/2021 18:30,105.0,,
1/8/2021 18:45,103.1,,
1/8/2021 19:00,104.0,,
1/8/2021 19:15,103.0,,
1/8/2021 19:30,102.4,,
1/8/2021 19:45,102.2,,
1/8/2021 20:00,101.1,,
1/8/2021 20:15,101.6,,
1/8/2021 20:30,102.2,,
1/8/2021 20:45,100.8,,
1/8/2021 21:00,101.4,,
1/8/2021 21:15,98.7,,
1/8/2021 21:30,100.5,,
1/8/2021 21:45,99.7,,
1/8/2021 22:00,99.8,,
1/8/2021 22:15,99.4,,
1/8/2021 22:30,97.9,,
1/8/2021 22:45,97.4,,
1/8/2021 23:00,99.0,,
1/8/2021 23:15,98.6,,
1/8/2021 23:30,97.6,,
1/8/2021 23:45,96.9,,
1/9/2021 0:00,97.2,,
1/9/2021 0:15,96.8,,
1/9/2021 0:30,96.6,,
1/9/2021 0:45,97.4,,
